inflow_id,sent_date,payment_system,amount,currency,expected_arrival_date,actual_delay_days,from_partner,to_account,status
INF00105,2026-05-17,SEPA,55228.1,USD,2026-05-18,1,Roy-Anderson,ACC014,in_transit
INF00116,2026-05-17,SEPA,462610.04,USD,2026-05-18,1,"Black, Carrillo and Jones",ACC012,in_transit
INF00117,2026-05-15,ACH,158608.8,GBP,2026-05-18,1,Hodges PLC,ACC015,in_transit
INF00115,2026-05-13,CARD_CLEARING,190380.34,USD,2026-05-18,4,Andersen PLC,ACC009,in_transit
INF00104,2026-05-16,INSTANT,437101.02,USD,2026-05-18,0,Warner-Patrick,ACC019,in_transit
INF00282,2026-05-17,SWIFT,99125.63,EUR,2026-05-19,2,Black Inc,ACC011,in_transit
INF00015,2026-05-14,CARD_CLEARING,220433.69,USD,2026-05-19,5,"Chen, Dunlap and Guerrero",ACC010,in_transit
INF00132,2026-05-14,CARD_CLEARING,205539.86,GBP,2026-05-19,5,"Wong, Young and Moore",ACC019,in_transit
INF00025,2026-05-14,CARD_CLEARING,51479.52,EUR,2026-05-19,5,Buck-Moore,ACC013,in_transit
INF00092,2026-05-15,CARD_CLEARING,159889.09,GBP,2026-05-19,4,"Stevens, Villa and Ellis",ACC018,in_transit
INF00288,2026-05-16,CARD_CLEARING,216092.2,USD,2026-05-19,3,Horn-Rivera,ACC007,in_transit
INF00274,2026-05-17,SWIFT,425750.59,USD,2026-05-19,2,Spencer-Alvarado,ACC012,in_transit
INF00142,2026-05-17,SWIFT,139000.46,EUR,2026-05-19,2,"Moore, Reed and Adams",ACC018,in_transit
INF00210,2026-05-16,SWIFT,426480.58,USD,2026-05-19,3,Delgado-Long,ACC006,in_transit
INF00004,2026-05-16,CARD_CLEARING,137195.39,USD,2026-05-19,3,Williams-Ruiz,ACC010,in_transit
INF00011,2026-05-15,CARD_CLEARING,422042.23,EUR,2026-05-19,4,Watts Ltd,ACC006,in_transit
INF00177,2026-05-17,SWIFT,258357.55,EUR,2026-05-19,2,"Price, Guerrero and Davis",ACC013,in_transit
INF00225,2026-05-14,CARD_CLEARING,469913.11,KZT,2026-05-19,5,Norris-David,ACC006,delayed
INF00265,2026-05-17,SWIFT,355986.56,GBP,2026-05-19,2,Francis-Smith,ACC007,in_transit
INF00081,2026-05-17,SWIFT,417625.7,USD,2026-05-19,2,Cortez-Dixon,ACC011,delayed
INF00131,2026-05-17,SWIFT,286165.96,GBP,2026-05-19,2,Moreno-Wilson,ACC020,in_transit
INF00062,2026-05-17,SWIFT,47768.43,KZT,2026-05-19,2,Brown LLC,ACC003,in_transit
INF00045,2026-05-16,SWIFT,455254.74,USD,2026-05-19,3,"Lester, Kim and White",ACC005,in_transit
INF00172,2026-05-17,SWIFT,240510.86,KZT,2026-05-19,2,"Hanna, Ewing and Santiago",ACC016,arrived
INF00255,2026-05-17,SWIFT,405211.92,GBP,2026-05-19,2,"Morris, Thompson and Jones",ACC017,arrived
INF00069,2026-05-17,SWIFT,227566.53,EUR,2026-05-19,2,Myers-Bates,ACC002,in_transit
INF00054,2026-05-16,SWIFT,164990.72,USD,2026-05-19,3,Butler-Romero,ACC002,in_transit
INF00102,2026-05-16,SWIFT,226650.48,KZT,2026-05-19,3,Solomon Group,ACC018,arrived
INF00244,2026-05-17,SWIFT,81159.43,EUR,2026-05-19,2,"Mahoney, Ross and Mayo",ACC018,delayed
INF00243,2026-05-17,SWIFT,296353.01,EUR,2026-05-19,2,Sullivan-Chaney,ACC001,in_transit
INF00050,2026-05-15,CARD_CLEARING,287156.9,USD,2026-05-19,4,Frederick-Floyd,ACC001,in_transit
INF00294,2026-05-16,SWIFT,288991.94,EUR,2026-05-19,3,Roberson LLC,ACC005,in_transit
INF00064,2026-05-15,CARD_CLEARING,359077.81,GBP,2026-05-19,4,Harris-Baker,ACC017,in_transit
INF00072,2026-05-17,SWIFT,201847.74,USD,2026-05-20,3,"Wright, Randall and Foster",ACC010,in_transit
INF00068,2026-05-15,CARD_CLEARING,197916.05,GBP,2026-05-20,5,Owens Ltd,ACC018,in_transit
INF00091,2026-05-17,CARD_CLEARING,380983.21,KZT,2026-05-20,3,Guerrero PLC,ACC003,in_transit
INF00290,2026-05-17,CARD_CLEARING,96709.6,USD,2026-05-20,3,Mcdonald Ltd,ACC016,in_transit
INF00023,2026-05-15,CARD_CLEARING,482631.13,EUR,2026-05-20,5,Thompson-Estrada,ACC010,delayed
INF00226,2026-05-17,CARD_CLEARING,112017.89,GBP,2026-05-20,3,"Raymond, Fields and Morgan",ACC004,in_transit
INF00024,2026-05-17,SWIFT,145342.59,USD,2026-05-20,3,Lara LLC,ACC019,in_transit
INF00145,2026-05-17,SWIFT,165323.73,EUR,2026-05-20,3,Montoya-Johnson,ACC020,in_transit
INF00229,2026-05-16,CARD_CLEARING,125806.0,KZT,2026-05-20,4,"Moore, Carr and Dennis",ACC001,arrived
INF00203,2026-05-17,SWIFT,118778.52,EUR,2026-05-20,3,Hayes Ltd,ACC007,in_transit
INF00052,2026-05-15,CARD_CLEARING,346914.66,GBP,2026-05-20,5,Fleming Group,ACC018,in_transit
INF00002,2026-05-15,CARD_CLEARING,450626.15,USD,2026-05-20,5,Smith and Sons,ACC019,in_transit
INF00248,2026-05-17,CARD_CLEARING,62729.39,USD,2026-05-20,3,Lewis-Bishop,ACC003,in_transit
INF00296,2026-05-17,CARD_CLEARING,60040.83,EUR,2026-05-20,3,Smith-Miller,ACC007,in_transit
INF00135,2026-05-16,CARD_CLEARING,143881.1,EUR,2026-05-21,5,Gardner PLC,ACC009,in_transit
INF00258,2026-05-17,CARD_CLEARING,257960.12,USD,2026-05-21,4,"Graham, Johnson and Garrett",ACC001,in_transit
INF00078,2026-05-17,CARD_CLEARING,160684.62,KZT,2026-05-21,4,Burgess LLC,ACC013,in_transit
INF00242,2026-05-17,CARD_CLEARING,125102.68,GBP,2026-05-22,5,Stokes LLC,ACC015,in_transit
INF00111,2026-05-17,CARD_CLEARING,168152.3,KZT,2026-05-22,5,Ortiz-Williams,ACC006,in_transit
INF00134,2026-05-17,CARD_CLEARING,292990.29,GBP,2026-05-22,5,Hanson-Franco,ACC009,delayed
INF00000,2026-05-17,CARD_CLEARING,402674.01,KZT,2026-05-22,5,"Patterson, Torres and Hughes",ACC008,in_transit
